number,value,datetime_start,datetime_complete,duration,params_V10,params_V11,params_V12,params_V15,params_V18,params_V3,params_V6,params_V9,system_attrs_fixed_params,state
260,0.0,2026-06-30 12:39:06.146663,2026-06-30 12:39:12.644785,0 days 00:00:06.498122,972.6076385386946,-582.8386373414678,547.1282249670716,-768.8331367958131,-619.799911720766,-371.12698369641873,-959.8657667283574,-6.113651560064186,,COMPLETE
261,0.0,2026-06-30 12:39:09.258874,2026-06-30 12:39:14.705265,0 days 00:00:05.446391,860.211975094977,-471.19184300359774,-548.851692840669,-865.060111504388,-636.3145024782709,-381.0128112293188,-959.3641051558681,54.54663480516434,,COMPLETE
262,0.0,2026-06-30 12:39:12.673018,2026-06-30 12:39:18.654849,0 days 00:00:05.981831,704.9103442035321,-470.9101192748409,437.26392426346064,-856.7937376037812,-860.3335815530023,-127.72141237680864,-904.3663111087437,52.95981907043385,,COMPLETE
263,0.0,2026-06-30 12:39:14.722250,2026-06-30 12:39:19.913954,0 days 00:00:05.191704,812.2453060134346,-401.40445774156376,426.28377784814484,-644.1376699686216,-721.0725884310879,-132.83460063654877,-906.263400081789,-57.42808174201379,,COMPLETE
264,-1.0,2026-06-30 12:39:18.685232,2026-06-30 12:39:23.444801,0 days 00:00:04.759569,22.89501790825136,-415.5777691843772,424.8663369114668,-742.0930783535171,-760.0577160979786,-313.96716268759235,-855.0972998817256,-53.19102370690055,,COMPLETE
265,0.0,2026-06-30 12:39:19.936309,2026-06-30 12:39:24.338095,0 days 00:00:04.401786,937.8658084993939,128.73826253856453,261.1855085623248,-741.7400586110421,-758.8992000868923,-314.49934869173984,-850.860059850459,594.2745450969477,,COMPLETE
266,-1.0,2026-06-30 12:39:23.483456,2026-06-30 12:39:27.762297,0 days 00:00:04.278841,930.1721974252996,-510.334072238408,468.9282729190826,-743.6965413481993,-673.9982765673325,-263.49225651438655,-707.9464596629036,10.536235346012862,,COMPLETE
267,0.0,2026-06-30 12:39:24.362695,2026-06-30 12:39:28.668814,0 days 00:00:04.306119,887.7800531039155,-505.9904539027071,466.1064953750398,-810.3288687767159,243.81550824387355,-75.36647413266832,-923.9153103491456,118.90525037840487,,COMPLETE
268,-1.0,2026-06-30 12:39:27.801995,2026-06-30 12:39:32.254203,0 days 00:00:04.452208,884.1391788922493,-546.8385571841236,-495.4278884619308,-816.4008355580555,-709.5020305033119,-170.74694345548346,-931.4119357626672,-109.54021271241196,,COMPLETE
269,0.0,2026-06-30 12:39:28.688715,2026-06-30 12:39:33.263165,0 days 00:00:04.574450,824.4156686722874,-327.32574384071506,536.1625212211661,-689.0783396058134,-707.8975438572231,-217.61085153904278,-969.2698016155325,-101.04768409367693,,COMPLETE
270,-1.0,2026-06-30 12:39:32.317227,2026-06-30 12:39:37.338176,0 days 00:00:05.020949,830.4941869656545,-446.8292908069071,531.8573223395941,-695.5525758949701,-806.1803289473272,-219.5612779878456,-978.4239462945754,-19.611570527911915,,COMPLETE
271,0.0,2026-06-30 12:39:33.350346,2026-06-30 12:39:38.194068,0 days 00:00:04.843722,998.1327354202542,-617.9183898050381,348.95821122536347,-608.4669589157605,-801.7879555115683,-263.1672497882614,-814.6787991209,32.362698044342324,,COMPLETE
272,-1.0,2026-06-30 12:39:37.367119,2026-06-30 12:39:41.616536,0 days 00:00:04.249417,999.8507433697177,-617.8543328063126,328.21577011527575,-597.790218015949,141.46882703935543,-283.96741816151984,-817.1950065160995,39.244695738495366,,COMPLETE
273,0.0,2026-06-30 12:39:38.212139,2026-06-30 12:39:42.715635,0 days 00:00:04.503496,781.504687594275,-488.7131447801481,414.9418603896679,-769.521735805743,118.35628227111583,-163.26464232325753,-879.5031619843836,-18.37439946901455,,COMPLETE
274,-1.0,2026-06-30 12:39:41.656183,2026-06-30 12:39:46.207004,0 days 00:00:04.550821,781.1762035327409,-472.1116880126463,388.6209680850238,-769.0242820950974,-659.7688737850609,-169.13773570168536,-887.4534474436285,-32.34567736758677,,COMPLETE
275,0.0,2026-06-30 12:39:42.735604,2026-06-30 12:39:47.300109,0 days 00:00:04.564505,873.1438155065262,-554.0615701477649,498.89067959626936,-776.1764894545912,-652.1593361368618,-242.73757638385328,-887.341736736919,82.68078444445666,,COMPLETE
276,-1.0,2026-06-30 12:39:46.236029,2026-06-30 12:39:50.748560,0 days 00:00:04.512531,865.3697267257909,-550.5902389566501,587.5583483025674,-832.5578493642273,-737.6311548384647,-242.71706498940546,-939.1010877225724,87.32271057587965,,COMPLETE
277,0.0,2026-06-30 12:39:47.319544,2026-06-30 12:39:51.706483,0 days 00:00:04.386939,97.22846807736624,-429.3740807594559,451.6411850813547,-712.9840353638918,-751.7959942094932,-323.8921313368413,-750.6262492932724,-66.13305755717278,,COMPLETE
278,-1.0,2026-06-30 12:39:50.778922,2026-06-30 12:39:55.095200,0 days 00:00:04.316278,922.472946466167,-430.77708060078976,451.5358873707357,-717.0849845159104,-851.4643061870158,-349.0700414227107,-766.0609284599582,-155.79904894038316,,COMPLETE
279,0.0,2026-06-30 12:39:51.727828,2026-06-30 12:39:56.265188,0 days 00:00:04.537360,913.8005759359631,-513.7390256093672,657.8097100691537,-872.3471027778628,-850.3117131963439,-204.26060859039276,-996.1225478080397,15.07035688554952,,COMPLETE
280,-1.0,2026-06-30 12:39:55.136897,2026-06-30 12:40:00.355775,0 days 00:00:05.218878,899.68819881322,-376.7764244361448,398.1444129272354,-654.3706579195624,-583.686944523475,-201.2017618518004,-925.6902921326234,13.815718736115741,,COMPLETE
281,0.0,2026-06-30 12:39:56.349851,2026-06-30 12:40:01.357146,0 days 00:00:05.007295,829.6870725637,-388.72395837250906,495.8533876889311,-650.8196958627279,-601.1774478886382,-276.2585089130324,-926.6245071408132,11.938459130357215,,COMPLETE
282,-1.0,2026-06-30 12:40:00.387743,2026-06-30 12:40:05.104408,0 days 00:00:04.716665,832.6359750867932,-460.39745022111873,502.344255024073,-803.0842527796843,-689.7772049965168,-286.9955273959552,-841.7687220366274,-77.9393167962382,,COMPLETE
283,0.0,2026-06-30 12:40:01.390804,2026-06-30 12:40:06.303282,0 days 00:00:04.912478,730.24053822615,-481.5934445808068,301.97609721202423,-811.9389889495362,-786.1661626614094,-98.38289717389463,-848.748251520318,-71.3920247414203,,COMPLETE
284,-1.0,2026-06-30 12:40:05.143005,2026-06-30 12:40:09.802356,0 days 00:00:04.659351,728.0960685109362,-486.7410955042325,413.7508515507329,-740.6876005399467,-767.5449889205875,-418.41459563672976,-960.7912502703049,59.50064546574821,,COMPLETE
285,0.0,2026-06-30 12:40:06.324068,2026-06-30 12:40:10.878535,0 days 00:00:04.554467,951.1632814513306,-537.3571919766051,368.23782666377224,-742.4262356436599,-758.4791095389634,-241.22667413804913,-999.815022129912,-25.836908339208623,,COMPLETE
286,-1.0,2026-06-30 12:40:09.841921,2026-06-30 12:40:15.043604,0 days 00:00:05.201683,866.4361961345958,-582.8457873785435,376.73649802706825,-856.656997209397,-720.8746252310008,-237.48682820279018,-997.9119894245817,149.52520622687223,,COMPLETE
287,0.0,2026-06-30 12:40:10.899238,2026-06-30 12:40:16.255898,0 days 00:00:05.356660,866.40786998332,-584.4698351420556,575.8317157987509,-700.1125580446958,-719.3787025568488,-190.11978645313053,-898.4376814969768,136.98369370780827,,COMPLETE
288,-1.0,2026-06-30 12:40:15.076530,2026-06-30 12:40:21.490469,0 days 00:00:06.413939,806.0487285390254,-521.5306819154176,455.33202838345215,-690.9297108087572,-689.6005249673209,-185.25383161434547,-890.5044729198753,-26.426347900206533,,COMPLETE
289,0.0,2026-06-30 12:40:16.280301,2026-06-30 12:40:22.463097,0 days 00:00:06.182796,803.8537057051797,-521.9297901669177,441.6169534621743,-781.0195047924225,-680.7361541272023,-352.4376157798309,-942.183173864813,544.5693519283785,,COMPLETE
290,-1.0,2026-06-30 12:40:21.520324,2026-06-30 12:40:26.689607,0 days 00:00:05.169283,913.2538120439773,-428.88087634730226,547.6492633901034,-784.2945452533959,-794.9698297383212,-299.21092898863407,-946.2826975154408,44.62002780375822,,COMPLETE
291,0.0,2026-06-30 12:40:22.485238,2026-06-30 12:40:27.682491,0 days 00:00:05.197253,912.3659592019542,-438.82859018439274,541.5428626445654,-841.3216817716666,-815.1242815532387,-276.1440783407827,-790.7899240010407,44.98644145017523,,COMPLETE
292,-1.0,2026-06-30 12:40:26.731169,2026-06-30 12:40:30.886471,0 days 00:00:04.155302,954.7279367439262,-453.73619044332224,487.81778250901357,-835.2936613578324,-818.6754409777233,-133.70139876608442,-797.6288870374308,-119.69915076263496,,COMPLETE
293,0.0,2026-06-30 12:40:27.699828,2026-06-30 12:40:31.819414,0 days 00:00:04.119586,958.8787215435294,-476.66613396338187,479.8769611890666,-737.3914375695813,-743.7633698410635,-142.1490943848745,-866.3327919737342,-125.27140959948723,,COMPLETE
294,-1.0,2026-06-30 12:40:30.925041,2026-06-30 12:40:35.539871,0 days 00:00:04.614830,852.7584562893936,-491.37440433159907,410.9124172356729,-933.0107059896209,-743.5493243560126,-226.67764123946057,-868.3937057339151,-10.866858129928104,,COMPLETE
